localminute,grid,solar,solar2,total_consumption,day,month,day_of_week,hour,weekend,c-1,c-2,c-3
2018-01-01 00:00:00,1.8092,-0.0145,0.0,1.7948,1,1,0,0,0.0,0.0,0.0,0.0
2018-01-01 01:00:00,1.93,0.0,0.0,1.93,1,1,0,1,0.0,1.7948,0.0,0.0
2018-01-01 02:00:00,1.3698,-0.012,0.0,1.3578,1,1,0,2,0.0,1.93,1.7948,0.0
2018-01-01 03:00:00,1.6738,-0.013,0.0,1.6608,1,1,0,3,0.0,1.3578,1.93,1.7948
2018-01-01 04:00:00,1.4882,-0.0127,0.0,1.4755,1,1,0,4,0.0,1.6608,1.3578,1.93
2018-01-01 05:00:00,1.5808,-0.0127,0.0,1.568,1,1,0,5,0.0,1.4755,1.6608,1.3578
2018-01-01 06:00:00,1.347,-0.0125,0.0,1.3345,1,1,0,6,0.0,1.568,1.4755,1.6608
2018-01-01 07:00:00,1.554,-0.008,0.0,1.546,1,1,0,7,0.0,1.3345,1.568,1.4755
2018-01-01 08:00:00,1.106,0.3075,0.0,1.4135,1,1,0,8,0.0,1.546,1.3345,1.568
2018-01-01 09:00:00,0.4065,1.099,0.0,1.5055,1,1,0,9,0.0,1.4135,1.546,1.3345
2018-01-01 10:00:00,-0.1335,1.3897,0.0,1.2562,1,1,0,10,0.0,1.5055,1.4135,1.546
2018-01-01 11:00:00,0.885,1.7708,0.0,2.6558,1,1,0,11,0.0,1.2562,1.5055,1.4135
2018-01-01 12:00:00,-0.5702,1.6758,0.0,1.1055,1,1,0,12,0.0,2.6558,1.2562,1.5055
2018-01-01 13:00:00,0.6445,1.1662,0.0,1.8108,1,1,0,13,0.0,1.1055,2.6558,1.2562
2018-01-01 14:00:00,1.1318,1.0405,0.0,2.1722,1,1,0,14,0.0,1.8108,1.1055,2.6558
2018-01-01 15:00:00,0.5632,0.5828,0.0,1.146,1,1,0,15,0.0,2.1722,1.8108,1.1055
2018-01-01 16:00:00,0.925,0.4242,0.0,1.3492,1,1,0,16,0.0,1.146,2.1722,1.8108
2018-01-01 17:00:00,1.333,-0.007,0.0,1.326,1,1,0,17,0.0,1.3492,1.146,2.1722
2018-01-01 18:00:00,1.4055,-0.0118,0.0,1.3938,1,1,0,18,0.0,1.326,1.3492,1.146
2018-01-01 19:00:00,1.8132,-0.012,0.0,1.8012,1,1,0,19,0.0,1.3938,1.326,1.3492
2018-01-01 20:00:00,1.3785,-0.0112,0.0,1.3672,1,1,0,20,0.0,1.8012,1.3938,1.326
2018-01-01 21:00:00,1.3488,-0.01,0.0,1.3388,1,1,0,21,0.0,1.3672,1.8012,1.3938
2018-01-01 22:00:00,1.3738,-0.0107,0.0,1.363,1,1,0,22,0.0,1.3388,1.3672,1.8012
2018-01-01 23:00:00,1.2032,-0.0115,0.0,1.1918,1,1,0,23,0.0,1.363,1.3388,1.3672
2018-01-02 00:00:00,1.131,-0.012,0.0,1.119,2,1,1,0,0.0,1.1918,1.363,1.3388
2018-01-02 01:00:00,0.9395,-0.012,0.0,0.9275,2,1,1,1,0.0,1.119,1.1918,1.363
2018-01-02 02:00:00,1.0258,-0.0122,0.0,1.0135,2,1,1,2,0.0,0.9275,1.119,1.1918
2018-01-02 03:00:00,1.118,-0.0122,0.0,1.1058,2,1,1,3,0.0,1.0135,0.9275,1.119
2018-01-02 04:00:00,1.12,-0.0118,0.0,1.1082,2,1,1,4,0.0,1.1058,1.0135,0.9275
2018-01-02 05:00:00,1.171,-0.012,0.0,1.159,2,1,1,5,0.0,1.1082,1.1058,1.0135
2018-01-02 06:00:00,1.0605,-0.0118,0.0,1.0488,2,1,1,6,0.0,1.159,1.1082,1.1058
2018-01-02 07:00:00,1.2245,-0.0015,0.0,1.223,2,1,1,7,0.0,1.0488,1.159,1.1082
2018-01-02 08:00:00,1.0895,0.1038,0.0,1.1932,2,1,1,8,0.0,1.223,1.0488,1.159
2018-01-02 09:00:00,0.6888,0.4345,0.0,1.1232,2,1,1,9,0.0,1.1932,1.223,1.0488
2018-01-02 10:00:00,0.3375,0.709,0.0,1.0465,2,1,1,10,0.0,1.1232,1.1932,1.223
2018-01-02 11:00:00,3.3322,0.8912,0.0,4.2235,2,1,1,11,0.0,1.0465,1.1232,1.1932
2018-01-02 12:00:00,3.547,0.9262,0.0,4.4732,2,1,1,12,0.0,4.2235,1.0465,1.1232
2018-01-02 13:00:00,2.3465,0.7428,0.0,3.0892,2,1,1,13,0.0,4.4732,4.2235,1.0465
2018-01-02 14:00:00,0.4838,0.4912,0.0,0.975,2,1,1,14,0.0,3.0892,4.4732,4.2235
2018-01-02 15:00:00,0.8758,0.2295,0.0,1.1052,2,1,1,15,0.0,0.975,3.0892,4.4732
2018-01-02 16:00:00,0.9485,0.0402,0.0,0.9888,2,1,1,16,0.0,1.1052,0.975,3.0892
2018-01-02 17:00:00,0.994,-0.029,0.0,0.965,2,1,1,17,0.0,0.9888,1.1052,0.975
2018-01-02 18:00:00,1.7438,-0.013,0.0,1.7308,2,1,1,18,0.0,0.965,0.9888,1.1052
2018-01-02 19:00:00,1.995,-0.0125,0.0,1.9825,2,1,1,19,0.0,1.7308,0.965,0.9888
2018-01-02 20:00:00,1.506,-0.0125,0.0,1.4935,2,1,1,20,0.0,1.9825,1.7308,0.965
2018-01-02 21:00:00,1.2442,-0.0122,0.0,1.232,2,1,1,21,0.0,1.4935,1.9825,1.7308
2018-01-02 22:00:00,1.167,-0.0127,0.0,1.1542,2,1,1,22,0.0,1.232,1.4935,1.9825
2018-01-02 23:00:00,1.043,-0.0122,0.0,1.0308,2,1,1,23,0.0,1.1542,1.232,1.4935
2018-01-03 00:00:00,1.0398,-0.0125,0.0,1.0272,3,1,2,0,0.0,1.0308,1.1542,1.232
2018-01-03 01:00:00,1.0258,-0.0125,0.0,1.0132,3,1,2,1,0.0,1.0272,1.0308,1.1542
2018-01-03 02:00:00,1.1165,-0.0122,0.0,1.1042,3,1,2,2,0.0,1.0132,1.0272,1.0308
2018-01-03 03:00:00,1.1353,-0.0125,0.0,1.1228,3,1,2,3,0.0,1.1042,1.0132,1.0272
2018-01-03 04:00:00,1.0435,-0.012,0.0,1.0315,3,1,2,4,0.0,1.1228,1.1042,1.0132
2018-01-03 05:00:00,1.055,-0.0122,0.0,1.0427,3,1,2,5,0.0,1.0315,1.1228,1.1042
2018-01-03 06:00:00,1.026,-0.0122,0.0,1.0138,3,1,2,6,0.0,1.0427,1.0315,1.1228
2018-01-03 07:00:00,1.0028,0.0645,0.0,1.0672,3,1,2,7,0.0,1.0138,1.0427,1.0315
2018-01-03 08:00:00,0.5352,0.8532,0.0,1.3885,3,1,2,8,0.0,1.0672,1.0138,1.0427
2018-01-03 09:00:00,-0.394,1.289,0.0,0.895,3,1,2,9,0.0,1.3885,1.0672,1.0138
2018-01-03 10:00:00,0.3143,1.95,0.0,2.2642,3,1,2,10,0.0,0.895,1.3885,1.0672
2018-01-03 11:00:00,-0.1552,2.7092,0.0,2.554,3,1,2,11,0.0,2.2642,0.895,1.3885
2018-01-03 12:00:00,-2.389,3.4442,0.0,1.0552,3,1,2,12,0.0,2.554,2.2642,0.895
2018-01-03 13:00:00,-2.8605,3.881,0.0,1.0205,3,1,2,13,0.0,1.0552,2.554,2.2642
2018-01-03 14:00:00,-0.7262,3.807,0.0,3.0808,3,1,2,14,0.0,1.0205,1.0552,2.554
2018-01-03 15:00:00,-0.0067,3.3448,0.0,3.338,3,1,2,15,0.0,3.0808,1.0205,1.0552
2018-01-03 16:00:00,2.1945,1.9388,0.0,4.1332,3,1,2,16,0.0,3.338,3.0808,1.0205
2018-01-03 17:00:00,2.741,0.181,0.0,2.922,3,1,2,17,0.0,4.1332,3.338,3.0808
2018-01-03 18:00:00,1.8442,-0.0148,0.0,1.8295,3,1,2,18,0.0,2.922,4.1332,3.338
2018-01-03 19:00:00,1.0608,-0.0115,0.0,1.0492,3,1,2,19,0.0,1.8295,2.922,4.1332
2018-01-03 20:00:00,0.9938,-0.0118,0.0,0.982,3,1,2,20,0.0,1.0492,1.8295,2.922
2018-01-03 21:00:00,1.166,-0.011,0.0,1.155,3,1,2,21,0.0,0.982,1.0492,1.8295
2018-01-03 22:00:00,0.8118,-0.011,0.0,0.8008,3,1,2,22,0.0,1.155,0.982,1.0492
2018-01-03 23:00:00,1.0055,-0.0118,0.0,0.9938,3,1,2,23,0.0,0.8008,1.155,0.982
2018-01-04 00:00:00,0.9812,-0.0122,0.0,0.969,4,1,3,0,0.0,0.9938,0.8008,1.155
2018-01-04 01:00:00,0.8695,-0.012,0.0,0.8575,4,1,3,1,0.0,0.969,0.9938,0.8008
2018-01-04 02:00:00,1.0435,-0.0122,0.0,1.0312,4,1,3,2,0.0,0.8575,0.969,0.9938
2018-01-04 03:00:00,1.0068,-0.012,0.0,0.9948,4,1,3,3,0.0,1.0312,0.8575,0.969
2018-01-04 04:00:00,0.8953,-0.012,0.0,0.8832,4,1,3,4,0.0,0.9948,1.0312,0.8575
2018-01-04 05:00:00,1.0795,-0.0112,0.0,1.0682,4,1,3,5,0.0,0.8832,0.9948,1.0312
2018-01-04 06:00:00,1.4148,-0.0118,0.0,1.403,4,1,3,6,0.0,1.0682,0.8832,0.9948
2018-01-04 07:00:00,1.533,0.0635,0.0,1.5965,4,1,3,7,0.0,1.403,1.0682,0.8832
2018-01-04 08:00:00,0.3988,0.7348,0.0,1.1335,4,1,3,8,0.0,1.5965,1.403,1.0682
2018-01-04 09:00:00,-0.3218,1.3792,0.0,1.0575,4,1,3,9,0.0,1.1335,1.5965,1.403
2018-01-04 10:00:00,-0.9635,1.9898,0.0,1.0263,4,1,3,10,0.0,1.0575,1.1335,1.5965
2018-01-04 11:00:00,-1.9978,2.9092,0.0,0.9115,4,1,3,11,0.0,1.0263,1.0575,1.1335
2018-01-04 12:00:00,-1.8552,2.676,0.0,0.8208,4,1,3,12,0.0,0.9115,1.0263,1.0575
2018-01-04 13:00:00,-2.232,3.2473,0.0,1.0152,4,1,3,13,0.0,0.8208,0.9115,1.0263
2018-01-04 14:00:00,-1.3922,2.3365,0.0,0.9442,4,1,3,14,0.0,1.0152,0.8208,0.9115
2018-01-04 15:00:00,0.4218,0.9552,0.0,1.377,4,1,3,15,0.0,0.9442,1.0152,0.8208
2018-01-04 16:00:00,0.729,0.3265,0.0,1.0555,4,1,3,16,0.0,1.377,0.9442,1.0152
2018-01-04 17:00:00,0.8062,0.008,0.0,0.8142,4,1,3,17,0.0,1.0555,1.377,0.9442
2018-01-04 18:00:00,1.0098,-0.0122,0.0,0.9975,4,1,3,18,0.0,0.8142,1.0555,1.377
2018-01-04 19:00:00,3.9478,-0.0102,0.0,3.9375,4,1,3,19,0.0,0.9975,0.8142,1.0555
2018-01-04 20:00:00,4.513,-0.011,0.0,4.502,4,1,3,20,0.0,3.9375,0.9975,0.8142
2018-01-04 21:00:00,4.3605,-0.0102,0.0,4.3502,4,1,3,21,0.0,4.502,3.9375,0.9975
2018-01-04 22:00:00,2.4948,-0.0107,0.0,2.484,4,1,3,22,0.0,4.3502,4.502,3.9375
2018-01-04 23:00:00,1.0232,-0.0118,0.0,1.0115,4,1,3,23,0.0,2.484,4.3502,4.502
2018-01-05 00:00:00,1.0185,-0.0118,0.0,1.0068,5,1,4,0,0.0,1.0115,2.484,4.3502
2018-01-05 01:00:00,0.8615,-0.011,0.0,0.8505,5,1,4,1,0.0,1.0068,1.0115,2.484
2018-01-05 02:00:00,1.023,-0.0115,0.0,1.0115,5,1,4,2,0.0,0.8505,1.0068,1.0115
2018-01-05 03:00:00,0.9718,-0.0112,0.0,0.9605,5,1,4,3,0.0,1.0115,0.8505,1.0068
2018-01-05 04:00:00,0.8898,-0.011,0.0,0.8788,5,1,4,4,0.0,0.9605,1.0115,0.8505
2018-01-05 05:00:00,0.8748,-0.011,0.0,0.8638,5,1,4,5,0.0,0.8788,0.9605,1.0115
2018-01-05 06:00:00,0.8185,-0.011,0.0,0.8075,5,1,4,6,0.0,0.8638,0.8788,0.9605
2018-01-05 07:00:00,1.5638,0.03,0.0,1.5938,5,1,4,7,0.0,0.8075,0.8638,0.8788
2018-01-05 08:00:00,0.741,0.2368,0.0,0.9777,5,1,4,8,0.0,1.5938,0.8075,0.8638
2018-01-05 09:00:00,0.2758,0.573,0.0,0.8488,5,1,4,9,0.0,0.9777,1.5938,0.8075
2018-01-05 10:00:00,-0.338,1.1305,0.0,0.7925,5,1,4,10,0.0,0.8488,0.9777,1.5938
2018-01-05 11:00:00,-2.1242,2.9288,0.0,0.8045,5,1,4,11,0.0,0.7925,0.8488,0.9777
2018-01-05 12:00:00,-2.726,3.5335,0.0,0.8075,5,1,4,12,0.0,0.8045,0.7925,0.8488
2018-01-05 13:00:00,-3.0898,3.852,0.0,0.7622,5,1,4,13,0.0,0.8075,0.8045,0.7925
2018-01-05 14:00:00,-3.0308,3.7688,0.0,0.738,5,1,4,14,0.0,0.7622,0.8075,0.8045
2018-01-05 15:00:00,-2.5715,3.2968,0.0,0.7252,5,1,4,15,0.0,0.738,0.7622,0.8075
2018-01-05 16:00:00,-0.3122,1.9048,0.0,1.5925,5,1,4,16,0.0,0.7252,0.738,0.7622
2018-01-05 17:00:00,3.995,0.2088,0.0,4.2037,5,1,4,17,0.0,1.5925,0.7252,0.738
2018-01-05 18:00:00,4.7065,-0.0138,0.0,4.6928,5,1,4,18,0.0,4.2037,1.5925,0.7252
2018-01-05 19:00:00,4.5242,-0.009,0.0,4.5152,5,1,4,19,0.0,4.6928,4.2037,1.5925
2018-01-05 20:00:00,1.7602,-0.0085,0.0,1.7518,5,1,4,20,0.0,4.5152,4.6928,4.2037
2018-01-05 21:00:00,1.1882,-0.0102,0.0,1.178,5,1,4,21,0.0,1.7518,4.5152,4.6928
2018-01-05 22:00:00,0.9902,-0.0112,0.0,0.979,5,1,4,22,0.0,1.178,1.7518,4.5152
2018-01-05 23:00:00,0.8722,-0.011,0.0,0.8612,5,1,4,23,0.0,0.979,1.178,1.7518
2018-01-06 00:00:00,0.8558,-0.011,0.0,0.8448,6,1,5,0,1.0,0.8612,0.979,1.178
2018-01-06 01:00:00,0.7995,-0.011,0.0,0.7885,6,1,5,1,1.0,0.8448,0.8612,0.979
2018-01-06 02:00:00,0.7877,-0.011,0.0,0.7768,6,1,5,2,1.0,0.7885,0.8448,0.8612
2018-01-06 03:00:00,0.7938,-0.0112,0.0,0.7825,6,1,5,3,1.0,0.7768,0.7885,0.8448
2018-01-06 04:00:00,0.7695,-0.011,0.0,0.7585,6,1,5,4,1.0,0.7825,0.7768,0.7885
2018-01-06 05:00:00,0.8412,-0.011,0.0,0.8302,6,1,5,5,1.0,0.7585,0.7825,0.7768
2018-01-06 06:00:00,0.8335,-0.011,0.0,0.8225,6,1,5,6,1.0,0.8302,0.7585,0.7825
2018-01-06 07:00:00,1.5432,-0.001,0.0,1.5423,6,1,5,7,1.0,0.8225,0.8302,0.7585
2018-01-06 08:00:00,1.583,0.195,0.0,1.778,6,1,5,8,1.0,1.5423,0.8225,0.8302
2018-01-06 09:00:00,0.771,0.5848,0.0,1.3558,6,1,5,9,1.0,1.778,1.5423,0.8225
2018-01-06 10:00:00,-0.8845,1.3835,0.0,0.499,6,1,5,10,1.0,1.3558,1.778,1.5423
2018-01-06 11:00:00,-1.4588,2.7965,0.0,1.3378,6,1,5,11,1.0,0.499,1.3558,1.778
2018-01-06 12:00:00,0.3955,3.3935,0.0,3.789,6,1,5,12,1.0,1.3378,0.499,1.3558
2018-01-06 13:00:00,1.6252,1.7255,0.0,3.3508,6,1,5,13,1.0,3.789,1.3378,0.499
2018-01-06 14:00:00,0.3478,0.8632,0.0,1.211,6,1,5,14,1.0,3.3508,3.789,1.3378
2018-01-06 15:00:00,0.1548,0.7245,0.0,0.8792,6,1,5,15,1.0,1.211,3.3508,3.789
2018-01-06 16:00:00,-0.0755,0.404,0.0,0.3285,6,1,5,16,1.0,0.8792,1.211,3.3508
2018-01-06 17:00:00,0.6412,0.048,0.0,0.6892,6,1,5,17,1.0,0.3285,0.8792,1.211
2018-01-06 18:00:00,0.8555,-0.0122,0.0,0.8432,6,1,5,18,1.0,0.6892,0.3285,0.8792
2018-01-06 19:00:00,0.8855,-0.0107,0.0,0.8748,6,1,5,19,1.0,0.8432,0.6892,0.3285
2018-01-06 20:00:00,0.891,-0.0115,0.0,0.8795,6,1,5,20,1.0,0.8748,0.8432,0.6892
2018-01-06 21:00:00,0.4998,-0.0102,0.0,0.4895,6,1,5,21,1.0,0.8795,0.8748,0.8432
2018-01-06 22:00:00,0.4975,-0.0102,0.0,0.4872,6,1,5,22,1.0,0.4895,0.8795,0.8748
2018-01-06 23:00:00,0.6,-0.0102,0.0,0.5898,6,1,5,23,1.0,0.4872,0.4895,0.8795
2018-01-07 00:00:00,0.4432,-0.0102,0.0,0.433,7,1,6,0,1.0,0.5898,0.4872,0.4895
2018-01-07 01:00:00,0.5375,-0.0105,0.0,0.527,7,1,6,1,1.0,0.433,0.5898,0.4872
2018-01-07 02:00:00,0.5038,-0.0102,0.0,0.4935,7,1,6,2,1.0,0.527,0.433,0.5898
2018-01-07 03:00:00,0.4835,-0.0102,0.0,0.4732,7,1,6,3,1.0,0.4935,0.527,0.433
2018-01-07 04:00:00,0.6225,-0.0095,0.0,0.613,7,1,6,4,1.0,0.4732,0.4935,0.527
2018-01-07 05:00:00,0.5208,-0.01,0.0,0.5108,7,1,6,5,1.0,0.613,0.4732,0.4935
2018-01-07 06:00:00,0.4795,-0.01,0.0,0.4695,7,1,6,6,1.0,0.5108,0.613,0.4732
2018-01-07 07:00:00,0.4732,-0.0092,0.0,0.464,7,1,6,7,1.0,0.4695,0.5108,0.613
2018-01-07 08:00:00,0.4272,0.1067,0.0,0.534,7,1,6,8,1.0,0.464,0.4695,0.5108
2018-01-07 09:00:00,-0.044,0.6607,0.0,0.6168,7,1,6,9,1.0,0.534,0.464,0.4695
2018-01-07 10:00:00,-0.2493,0.8148,0.0,0.5655,7,1,6,10,1.0,0.6168,0.534,0.464
2018-01-07 11:00:00,0.9258,0.7395,0.0,1.6652,7,1,6,11,1.0,0.5655,0.6168,0.534
2018-01-07 12:00:00,2.6263,0.5995,0.0,3.2258,7,1,6,12,1.0,1.6652,0.5655,0.6168
2018-01-07 13:00:00,2.3338,0.3192,0.0,2.653,7,1,6,13,1.0,3.2258,1.6652,0.5655
2018-01-07 14:00:00,2.6935,0.245,0.0,2.9385,7,1,6,14,1.0,2.653,3.2258,1.6652
2018-01-07 15:00:00,0.3055,0.2355,0.0,0.541,7,1,6,15,1.0,2.9385,2.653,3.2258
2018-01-07 16:00:00,2.4147,0.1145,0.0,2.5293,7,1,6,16,1.0,0.541,2.9385,2.653
2018-01-07 17:00:00,1.4025,-0.0095,0.0,1.393,7,1,6,17,1.0,2.5293,0.541,2.9385
2018-01-07 18:00:00,1.719,-0.0087,0.0,1.7102,7,1,6,18,1.0,1.393,2.5293,0.541
2018-01-07 19:00:00,1.234,-0.009,0.0,1.225,7,1,6,19,1.0,1.7102,1.393,2.5293
2018-01-07 20:00:00,0.4092,-0.01,0.0,0.3992,7,1,6,20,1.0,1.225,1.7102,1.393
2018-01-07 21:00:00,0.5145,-0.0105,0.0,0.504,7,1,6,21,1.0,0.3992,1.225,1.7102
2018-01-07 22:00:00,0.366,-0.01,0.0,0.356,7,1,6,22,1.0,0.504,0.3992,1.225
2018-01-07 23:00:00,0.464,-0.0102,0.0,0.4538,7,1,6,23,1.0,0.356,0.504,0.3992
2018-01-08 00:00:00,0.3452,-0.01,0.0,0.3352,8,1,0,0,0.0,0.4538,0.356,0.504
2018-01-08 01:00:00,0.5475,-0.0107,0.0,0.5367,8,1,0,1,0.0,0.3352,0.4538,0.356
2018-01-08 02:00:00,0.2928,-0.01,0.0,0.2828,8,1,0,2,0.0,0.5367,0.3352,0.4538
2018-01-08 03:00:00,0.4495,-0.0102,0.0,0.4392,8,1,0,3,0.0,0.2828,0.5367,0.3352
2018-01-08 04:00:00,0.347,-0.0098,0.0,0.3372,8,1,0,4,0.0,0.4392,0.2828,0.5367
2018-01-08 05:00:00,0.5642,-0.0102,0.0,0.554,8,1,0,5,0.0,0.3372,0.4392,0.2828
2018-01-08 06:00:00,1.1085,-0.01,0.0,1.0985,8,1,0,6,0.0,0.554,0.3372,0.4392
2018-01-08 07:00:00,1.2888,0.046,0.0,1.3348,8,1,0,7,0.0,1.0985,0.554,0.3372
2018-01-08 08:00:00,-0.2705,0.7225,0.0,0.452,8,1,0,8,0.0,1.3348,1.0985,0.554
2018-01-08 09:00:00,-0.67,1.3055,0.0,0.6355,8,1,0,9,0.0,0.452,1.3348,1.0985
2018-01-08 10:00:00,-1.2472,1.86,0.0,0.6127,8,1,0,10,0.0,0.6355,0.452,1.3348
2018-01-08 11:00:00,-1.6682,2.7795,0.0,1.1112,8,1,0,11,0.0,0.6127,0.6355,0.452
2018-01-08 12:00:00,-2.9152,3.4692,0.0,0.554,8,1,0,12,0.0,1.1112,0.6127,0.6355
2018-01-08 13:00:00,-3.4955,3.821,0.0,0.3255,8,1,0,13,0.0,0.554,1.1112,0.6127
2018-01-08 14:00:00,-3.391,3.7775,0.0,0.3865,8,1,0,14,0.0,0.3255,0.554,1.1112
2018-01-08 15:00:00,-2.6712,3.342,0.0,0.6708,8,1,0,15,0.0,0.3865,0.3255,0.554
2018-01-08 16:00:00,-1.7498,2.172,0.0,0.4222,8,1,0,16,0.0,0.6708,0.3865,0.3255
2018-01-08 17:00:00,0.266,0.1918,0.0,0.4578,8,1,0,17,0.0,0.4222,0.6708,0.3865
2018-01-08 18:00:00,1.0812,-0.014,0.0,1.0672,8,1,0,18,0.0,0.4578,0.4222,0.6708
2018-01-08 19:00:00,0.684,-0.0105,0.0,0.6735,8,1,0,19,0.0,1.0672,0.4578,0.4222
2018-01-08 20:00:00,0.4538,-0.01,0.0,0.4438,8,1,0,20,0.0,0.6735,1.0672,0.4578
2018-01-08 21:00:00,0.5978,-0.0102,0.0,0.5875,8,1,0,21,0.0,0.4438,0.6735,1.0672
2018-01-08 22:00:00,0.4582,-0.01,0.0,0.4482,8,1,0,22,0.0,0.5875,0.4438,0.6735
2018-01-08 23:00:00,0.576,-0.0095,0.0,0.5665,8,1,0,23,0.0,0.4482,0.5875,0.4438
2018-01-09 00:00:00,0.393,-0.01,0.0,0.383,9,1,1,0,0.0,0.5665,0.4482,0.5875
2018-01-09 01:00:00,0.3855,-0.01,0.0,0.3755,9,1,1,1,0.0,0.383,0.5665,0.4482
2018-01-09 02:00:00,0.355,-0.01,0.0,0.345,9,1,1,2,0.0,0.3755,0.383,0.5665
2018-01-09 03:00:00,0.3352,-0.01,0.0,0.3252,9,1,1,3,0.0,0.345,0.3755,0.383
2018-01-09 04:00:00,0.3865,-0.01,0.0,0.3765,9,1,1,4,0.0,0.3252,0.345,0.3755
2018-01-09 05:00:00,0.3298,-0.01,0.0,0.3198,9,1,1,5,0.0,0.3765,0.3252,0.345
2018-01-09 06:00:00,0.89,-0.0105,0.0,0.8795,9,1,1,6,0.0,0.3198,0.3765,0.3252
2018-01-09 07:00:00,0.994,0.0295,0.0,1.0235,9,1,1,7,0.0,0.8795,0.3198,0.3765
2018-01-09 08:00:00,0.0275,0.645,0.0,0.6725,9,1,1,8,0.0,1.0235,0.8795,0.3198
2018-01-09 09:00:00,-0.6785,1.285,0.0,0.6065,9,1,1,9,0.0,0.6725,1.0235,0.8795
2018-01-09 10:00:00,-1.39,1.8345,0.0,0.4445,9,1,1,10,0.0,0.6065,0.6725,1.0235
2018-01-09 11:00:00,-2.1135,2.7312,0.0,0.6178,9,1,1,11,0.0,0.4445,0.6065,0.6725
2018-01-09 12:00:00,-2.9925,3.443,0.0,0.4505,9,1,1,12,0.0,0.6178,0.4445,0.6065
2018-01-09 13:00:00,-3.2092,3.684,0.0,0.4747,9,1,1,13,0.0,0.4505,0.6178,0.4445
2018-01-09 14:00:00,-3.0555,3.6628,0.0,0.6072,9,1,1,14,0.0,0.4747,0.4505,0.6178
2018-01-09 15:00:00,-2.458,3.2488,0.0,0.7908,9,1,1,15,0.0,0.6072,0.4747,0.4505
2018-01-09 16:00:00,0.7975,1.8332,0.0,2.6308,9,1,1,16,0.0,0.7908,0.6072,0.4747
2018-01-09 17:00:00,0.1905,0.237,0.0,0.4275,9,1,1,17,0.0,2.6308,0.7908,0.6072
2018-01-09 18:00:00,2.3643,-0.014,0.0,2.3502,9,1,1,18,0.0,0.4275,2.6308,0.7908
2018-01-09 19:00:00,2.6552,-0.0102,0.0,2.645,9,1,1,19,0.0,2.3502,0.4275,2.6308
2018-01-09 20:00:00,0.4598,-0.01,0.0,0.4498,9,1,1,20,0.0,2.645,2.3502,0.4275
2018-01-09 21:00:00,0.4845,-0.0102,0.0,0.4742,9,1,1,21,0.0,0.4498,2.645,2.3502
2018-01-09 22:00:00,0.4368,-0.01,0.0,0.4268,9,1,1,22,0.0,0.4742,0.4498,2.645
2018-01-09 23:00:00,0.5442,-0.0105,0.0,0.5337,9,1,1,23,0.0,0.4268,0.4742,0.4498
2018-01-10 00:00:00,0.5835,-0.0102,0.0,0.5732,10,1,2,0,0.0,0.5337,0.4268,0.4742
2018-01-10 01:00:00,0.427,-0.01,0.0,0.417,10,1,2,1,0.0,0.5732,0.5337,0.4268
2018-01-10 02:00:00,0.6018,-0.0105,0.0,0.5912,10,1,2,2,0.0,0.417,0.5732,0.5337
2018-01-10 03:00:00,0.4372,-0.01,0.0,0.4272,10,1,2,3,0.0,0.5912,0.417,0.5732
2018-01-10 04:00:00,0.6005,-0.0102,0.0,0.5902,10,1,2,4,0.0,0.4272,0.5912,0.417
2018-01-10 05:00:00,0.4242,-0.01,0.0,0.4142,10,1,2,5,0.0,0.5902,0.4272,0.5912
2018-01-10 06:00:00,0.898,-0.009,0.0,0.889,10,1,2,6,0.0,0.4142,0.5902,0.4272
2018-01-10 07:00:00,0.9885,-0.0023,0.0,0.9862,10,1,2,7,0.0,0.889,0.4142,0.5902
2018-01-10 08:00:00,0.922,0.124,0.0,1.046,10,1,2,8,0.0,0.9862,0.889,0.4142
2018-01-10 09:00:00,0.669,0.483,0.0,1.152,10,1,2,9,0.0,1.046,0.9862,0.889
2018-01-10 10:00:00,0.0268,0.72,0.0,0.7468,10,1,2,10,0.0,1.152,1.046,0.9862
2018-01-10 11:00:00,-0.0675,1.01,0.0,0.9425,10,1,2,11,0.0,0.7468,1.152,1.046
2018-01-10 12:00:00,-0.0905,1.6932,0.0,1.6028,10,1,2,12,0.0,0.9425,0.7468,1.152
2018-01-10 13:00:00,-2.0928,2.38,0.0,0.2873,10,1,2,13,0.0,1.6028,0.9425,0.7468
2018-01-10 14:00:00,-1.2485,2.9667,0.0,1.7182,10,1,2,14,0.0,0.2873,1.6028,0.9425
2018-01-10 15:00:00,1.0358,2.6092,0.0,3.645,10,1,2,15,0.0,1.7182,0.2873,1.6028
2018-01-10 16:00:00,1.7432,2.0892,0.0,3.8325,10,1,2,16,0.0,3.645,1.7182,0.2873
2018-01-10 17:00:00,2.9808,0.229,0.0,3.2098,10,1,2,17,0.0,3.8325,3.645,1.7182
2018-01-10 18:00:00,2.3998,-0.0142,0.0,2.3855,10,1,2,18,0.0,3.2098,3.8325,3.645
2018-01-10 19:00:00,1.9515,-0.0102,0.0,1.9412,10,1,2,19,0.0,2.3855,3.2098,3.8325
2018-01-10 20:00:00,0.503,-0.0095,0.0,0.4935,10,1,2,20,0.0,1.9412,2.3855,3.2098
2018-01-10 21:00:00,0.314,-0.01,0.0,0.304,10,1,2,21,0.0,0.4935,1.9412,2.3855
2018-01-10 22:00:00,0.3145,-0.01,0.0,0.3045,10,1,2,22,0.0,0.304,0.4935,1.9412
